IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read Bandwidth (KB/s),Read IOPS,Read Latency Min (ms),Read Latency Max (ms),Read Latency Avg (ms),Read Latency Dev (ms),Write Bandwidth (KB/s),Write IOPS,Write Latency Min (ms),Write Latency Max (ms),Write Latency Avg (ms),Write Latency Dev (ms),CPU Usage: User,CPU Usage: System
read,4k,4,1,20G,10,libaio,39470,9867,18,18854,402.425485,501.934707,0,0,0,0,0.000000,0.000000,1.975000%,7.672500%
read,4k,4,32,20G,10,libaio,851703,212925,25,18938,600.579742,1439.176712,0,0,0,0,0.000000,0.000000,3.344916%,17.319567%
read,4k,4,64,20G,10,libaio,1068958,267239,23,22482,957.290495,1923.278388,0,0,0,0,0.000000,0.000000,3.522412%,20.561986%
read,32k,4,1,20G,10,libaio,300256,9383,42,5798,423.354484,506.609140,0,0,0,0,0.000000,0.000000,1.809910%,7.862107%
read,32k,4,32,20G,10,libaio,3487366,108980,41,15654,1173.908384,1232.769236,0,0,0,0,0.000000,0.000000,2.387261%,16.613339%
read,32k,4,64,20G,10,libaio,3647318,113978,43,27972,2245.157523,2118.148540,0,0,0,0,0.000000,0.000000,2.204559%,16.404219%
read,64k,4,1,20G,10,libaio,579321,9051,63,4791,438.679425,487.060640,0,0,0,0,0.000000,0.000000,1.777500%,8.860000%
read,64k,4,32,20G,10,libaio,3825581,59774,64,19502,2140.266827,2246.365011,0,0,0,0,0.000000,0.000000,1.419645%,12.916771%
read,64k,4,64,20G,10,libaio,4363028,68172,72,30640,3753.711526,2865.670568,0,0,0,0,0.000000,0.000000,1.834404%,16.704571%
write,4k,4,1,20G,10,libaio,0,0,0,0,0.000000,0.000000,66631,16657,15,9633,238.226546,386.899463,2.214945%,8.039799%
write,4k,4,32,20G,10,libaio,0,0,0,0,0.000000,0.000000,1117929,279482,22,39485,457.488517,1082.281751,4.142500%,22.075000%
write,4k,4,64,20G,10,libaio,0,0,0,0,0.000000,0.000000,1481852,370463,22,41426,690.515290,1236.002633,5.245000%,27.960000%
write,32k,4,1,20G,10,libaio,0,0,0,0,0.000000,0.000000,289977,9061,44,5695,438.382712,506.363108,2.150000%,7.605000%
write,32k,4,32,20G,10,libaio,0,0,0,0,0.000000,0.000000,3743977,116999,42,26112,1093.417115,1083.400202,3.794526%,17.297838%
write,32k,4,64,20G,10,libaio,0,0,0,0,0.000000,0.000000,3922199,122568,42,22637,2087.826452,1780.483117,3.597050%,17.090364%
write,64k,4,1,20G,10,libaio,0,0,0,0,0.000000,0.000000,577267,9019,63,5610,440.243063,461.835357,2.165000%,8.690000%
write,64k,4,32,20G,10,libaio,0,0,0,0,0.000000,0.000000,4207934,65748,64,18799,1945.950400,1783.955672,3.434399%,13.315170%
write,64k,4,64,20G,10,libaio,0,0,0,0,0.000000,0.000000,4463219,69737,69,27938,3669.274069,2805.961913,4.362064%,15.665933%
randread,4k,4,1,20G,10,libaio,37809,9452,19,7391,420.114446,529.021965,0,0,0,0,0.000000,0.000000,1.785000%,7.150000%
randread,4k,4,32,20G,10,libaio,797220,199305,27,19000,641.725880,1520.269162,0,0,0,0,0.000000,0.000000,3.500000%,17.100000%
randread,4k,4,64,20G,10,libaio,1228492,307123,22,22716,832.924644,1580.280834,0,0,0,0,0.000000,0.000000,4.245000%,24.967500%
randread,32k,4,1,20G,10,libaio,296399,9262,42,8810,428.568895,493.649860,0,0,0,0,0.000000,0.000000,1.662500%,8.507500%
randread,32k,4,32,20G,10,libaio,3289924,102810,41,24402,1244.388327,1393.420452,0,0,0,0,0.000000,0.000000,2.229833%,15.881309%
randread,32k,4,64,20G,10,libaio,3595469,112358,44,28594,2277.646928,1968.450673,0,0,0,0,0.000000,0.000000,2.064845%,16.781241%
randread,64k,4,1,20G,10,libaio,584817,9137,64,3297,434.265230,456.989487,0,0,0,0,0.000000,0.000000,1.974901%,9.004550%
randread,64k,4,32,20G,10,libaio,3913506,61148,65,30936,2092.265244,2085.512309,0,0,0,0,0.000000,0.000000,1.829588%,13.466970%
randread,64k,4,64,20G,10,libaio,4091919,63936,68,32487,4001.799942,3625.195907,0,0,0,0,0.000000,0.000000,1.552073%,15.468246%
randwrite,4k,4,1,20G,10,libaio,0,0,0,0,0.000000,0.000000,38018,9504,19,7425,417.466561,502.715175,2.132500%,8.075000%
randwrite,4k,4,32,20G,10,libaio,0,0,0,0,0.000000,0.000000,1038104,259526,22,29987,492.595629,1059.893407,4.369891%,22.534437%
randwrite,4k,4,64,20G,10,libaio,0,0,0,0,0.000000,0.000000,1401158,350289,25,33828,730.262928,1248.036654,5.449728%,28.653567%
randwrite,32k,4,1,20G,10,libaio,0,0,0,0,0.000000,0.000000,299637,9363,43,4787,423.873705,478.673114,2.330000%,8.037500%
randwrite,32k,4,32,20G,10,libaio,0,0,0,0,0.000000,0.000000,3538311,110572,42,23045,1156.950060,1103.627570,3.537235%,16.423768%
randwrite,32k,4,64,20G,10,libaio,0,0,0,0,0.000000,0.000000,3902394,121949,44,25436,2098.464003,1822.764445,3.884612%,17.498250%
randwrite,64k,4,1,20G,10,libaio,0,0,0,0,0.000000,0.000000,569037,8891,63,4494,446.423623,464.842809,2.347500%,8.760000%
randwrite,64k,4,32,20G,10,libaio,0,0,0,0,0.000000,0.000000,4240895,66263,65,23113,1930.626621,1797.235680,3.534470%,13.675449%
randwrite,64k,4,64,20G,10,libaio,0,0,0,0,0.000000,0.000000,4460285,69691,66,28744,3671.812457,3078.474321,3.951512%,16.165959%
