Duration in Seconds (-D),TxDepth (-t),Bandwidth in Gb/s
1,256,36.961934
1,256,36.961713
1,256,36.961468
1,512,36.961917
1,512,36.961598
1,512,36.961658
3,256,36.978871
3,256,36.978719
3,256,36.979161
3,512,36.978885
3,512,36.978945
3,512,36.978891
5,256,36.996736
5,256,36.996418
5,256,36.996145
5,512,36.996434
5,512,36.996442
5,512,36.996286
