Port (tnvme40Gp1),Duration (-D),TxDepth (-t),Report GBits (--report_gbits),Gb/s
,1,256,,36.961651
,1,256,,36.961645
,1,256,,36.961845
,1,512,,36.961932
,1,512,,36.961686
,1,512,,36.961819
,3,256,,36.97878
,3,256,,36.978727
,3,256,,36.978906
,3,512,,36.978636
,3,512,,36.978621
,3,512,,36.97919
,5,256,,36.996547
,5,256,,36.996287
,5,256,,36.996249
,5,512,,36.996298
,5,512,,36.996286
,5,512,,36.996496
