Duration (-D),TxDepth (-t),Report GBits (--report_gbits),Gb/s
1,256,,37.004317
1,256,,37.002841
1,256,,36.993995
1,512,,37.003239
1,512,,37.004101
1,512,,37.003302
3,256,,36.998357
3,256,,36.997478
3,256,,36.998072
3,512,,37.002614
3,512,,36.999467
3,512,,36.999835
5,256,,36.997583
5,256,,36.997784
5,256,,36.998264
5,512,,36.998066
5,512,,36.997631
5,512,,36.997856
