Port (tnvme40Gp1),Duration (-D),TxDepth (-t),Report GBits (--report_gbits),Gb/s
,1,256,,36.961839
,1,256,,36.961971
,1,256,,36.961435
,1,512,,36.961605
,1,512,,36.961555
,1,512,,36.961536
,3,256,,36.978801
,3,256,,36.978845
,3,256,,36.978326
,3,512,,36.978429
,3,512,,36.978708
,3,512,,36.978538
,5,256,,36.995117
,5,256,,36.996071
,5,256,,36.99659
,5,512,,36.996215
,5,512,,36.99616
,5,512,,36.996614
