Duration in Seconds (-D),TxDepth (-t),Bandwidth in Gb/s
1,256,36.96104
1,256,36.961853
1,256,36.961687
1,512,36.961844
1,512,36.961802
1,512,36.961956
3,256,36.978727
3,256,36.970029
3,256,36.978596
3,512,36.978652
3,512,36.978702
3,512,36.978871
5,256,36.996033
5,256,36.996104
5,256,36.996618
5,512,36.996351
5,512,36.996304
5,512,36.996386
