IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read IOPS,Write IOPS
rw,1M,40,1,1G,10,libaio,472,412
rw,1M,40,4,1G,10,libaio,294,257
rw,1M,40,16,1G,10,libaio,343,299
rw,1M,40,64,1G,10,libaio,319,279
rw,1M,40,128,1G,10,libaio,267,235
rw,10M,40,1,1G,10,libaio,24,25
rw,10M,40,4,1G,10,libaio,30,32
rw,10M,40,16,1G,10,libaio,30,33
rw,10M,40,64,1G,10,libaio,33,36
rw,10M,40,128,1G,10,libaio,34,36
randrw,1k,40,1,1G,10,libaio,132314,132143
randrw,1k,40,4,1G,10,libaio,125985,125818
randrw,1k,40,16,1G,10,libaio,121991,121823
randrw,1k,40,64,1G,10,libaio,120731,120560
randrw,1k,40,128,1G,10,libaio,121565,121388
randrw,4k,40,1,1G,10,libaio,67374,67281
randrw,4k,40,4,1G,10,libaio,81143,81018
randrw,4k,40,16,1G,10,libaio,77918,77795
randrw,4k,40,64,1G,10,libaio,77250,77146
randrw,4k,40,128,1G,10,libaio,77481,77358
randrw,8k,40,1,1G,10,libaio,38458,38341
randrw,8k,40,4,1G,10,libaio,37980,37864
randrw,8k,40,16,1G,10,libaio,44460,44324
randrw,8k,40,64,1G,10,libaio,44991,44854
randrw,8k,40,128,1G,10,libaio,43481,43362
randrw,1M,40,1,1G,10,libaio,380,333
randrw,1M,40,4,1G,10,libaio,268,234
randrw,1M,40,16,1G,10,libaio,364,318
randrw,1M,40,64,1G,10,libaio,311,272
randrw,1M,40,128,1G,10,libaio,269,235
randrw,10M,40,1,1G,10,libaio,29,30
randrw,10M,40,4,1G,10,libaio,29,30
randrw,10M,40,16,1G,10,libaio,28,30
randrw,10M,40,64,1G,10,libaio,24,25
randrw,10M,40,128,1G,10,libaio,34,36
