IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read Bandwidth (KB/s),Read IOPS,Read Latency Min (ms),Read Latency Max (ms),Read Latency Avg (ms),Read Latency Dev (ms),Write Bandwidth (KB/s),Write IOPS,Write Latency Min (ms),Write Latency Max (ms),Write Latency Avg (ms),Write Latency Dev (ms),CPU Usage: User,CPU Usage: System
read,1k,1,1,80G,10,libaio,808930,808930,0,513,1.056391,2.783577,0,0,0,0,0.000000,0.000000,24.630000%,70.560000%
read,1k,1,64,80G,10,libaio,798612,798612,2,1202,76.342443,22.876726,0,0,0,0,0.000000,0.000000,26.790000%,68.720000%
read,4k,1,1,80G,10,libaio,948767,237191,1,1118,3.820812,26.945912,0,0,0,0,0.000000,0.000000,10.020000%,53.720000%
read,4k,1,64,80G,10,libaio,981711,245427,109,1462,246.904334,172.516352,0,0,0,0,0.000000,0.000000,10.580000%,51.590000%
read,16k,1,1,80G,10,libaio,990926,61932,1,1541,14.997662,68.304306,0,0,0,0,0.000000,0.000000,4.270000%,38.040000%
read,16k,1,64,80G,10,libaio,1035952,64747,235,3097,936.990031,282.186165,0,0,0,0,0.000000,0.000000,4.170000%,43.480000%
