Port (tnvme40Gp1),Duration (-D),TxDepth (-t),Report GBits (--report_gbits),Gb/s
,1,256,,36.961984
,1,256,,36.961577
,1,256,,36.962005
,1,512,,36.96156
,1,512,,36.961768
,1,512,,36.961961
,3,256,,36.97897
,3,256,,36.978542
,3,256,,36.978619
,3,512,,36.978937
,3,512,,36.978887
,3,512,,36.978707
,5,256,,36.996335
,5,256,,36.996416
,5,256,,36.996719
,5,512,,36.9967
,5,512,,36.995988
,5,512,,36.996438
