Duration (-D),TxDepth (-t),Report GBits (--report_gbits),Gb/s
1,256,,37.008628
1,256,,37.005047
1,256,,37.001941
1,512,,37.003913
1,512,,37.004059
1,512,,37.004247
3,256,,36.99856
3,256,,36.998099
3,256,,36.99871
3,512,,36.999837
3,512,,36.996053
3,512,,36.997357
5,256,,36.997772
5,256,,36.995674
5,256,,36.997722
5,512,,36.996925
5,512,,36.997795
5,512,,36.997728
