Duration in Seconds (-D),TxDepth (-t),Bandwidth in Gb/s
1,256,36.961521
1,256,36.961348
1,256,36.961732
1,512,36.961777
1,512,36.961541
1,512,36.961431
3,256,36.977844
3,256,36.971382
3,256,36.977525
3,512,36.978682
3,512,36.978725
3,512,36.977851
5,256,36.996547
5,256,36.996059
5,256,36.995476
5,512,36.996527
5,512,36.996479
5,512,36.996385
