IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read IOPS,Write IOPS
read,1k,40,1,2G,10,libaio,149604,0
read,1k,40,2,2G,10,libaio,146592,0
read,1k,40,4,2G,10,libaio,146808,0
read,4k,40,1,2G,10,libaio,44914,0
read,4k,40,2,2G,10,libaio,44363,0
read,4k,40,4,2G,10,libaio,44435,0
read,8k,40,1,2G,10,libaio,22567,0
read,8k,40,2,2G,10,libaio,22415,0
read,8k,40,4,2G,10,libaio,22163,0
read,1M,40,1,2G,10,libaio,154,0
read,1M,40,2,2G,10,libaio,184,0
read,1M,40,4,2G,10,libaio,142,0
read,10M,40,1,2G,10,libaio,11,0
read,10M,40,2,2G,10,libaio,13,0
read,10M,40,4,2G,10,libaio,11,0
read,100M,40,1,2G,10,libaio,1,0
read,100M,40,2,2G,10,libaio,0,0
read,100M,40,4,2G,10,libaio,0,0
read,1G,40,1,2G,10,libaio,0,0
read,1G,40,2,2G,10,libaio,0,0
read,1G,40,4,2G,10,libaio,0,0
write,1k,40,1,2G,10,libaio,0,182478
write,1k,40,2,2G,10,libaio,0,179851
write,1k,40,4,2G,10,libaio,0,175547
write,4k,40,1,2G,10,libaio,0,51115
write,4k,40,2,2G,10,libaio,0,41639
write,4k,40,4,2G,10,libaio,0,45244
write,8k,40,1,2G,10,libaio,0,42956
write,8k,40,2,2G,10,libaio,0,32313
write,8k,40,4,2G,10,libaio,0,20255
write,1M,40,1,2G,10,libaio,0,149
write,1M,40,2,2G,10,libaio,0,197
write,1M,40,4,2G,10,libaio,0,148
write,10M,40,1,2G,10,libaio,0,14
write,10M,40,2,2G,10,libaio,0,15
write,10M,40,4,2G,10,libaio,0,14
write,100M,40,1,2G,10,libaio,0,1
write,100M,40,2,2G,10,libaio,0,1
write,100M,40,4,2G,10,libaio,0,1
write,1G,40,1,2G,10,libaio,0,0
write,1G,40,2,2G,10,libaio,0,0
write,1G,40,4,2G,10,libaio,0,0
randread,1k,40,1,2G,10,libaio,203690,0
randread,1k,40,2,2G,10,libaio,181130,0
randread,1k,40,4,2G,10,libaio,197859,0
randread,4k,40,1,2G,10,libaio,43016,0
randread,4k,40,2,2G,10,libaio,44102,0
randread,4k,40,4,2G,10,libaio,44135,0
randread,8k,40,1,2G,10,libaio,22417,0
randread,8k,40,2,2G,10,libaio,22443,0
randread,8k,40,4,2G,10,libaio,23025,0
randread,1M,40,1,2G,10,libaio,173,0
randread,1M,40,2,2G,10,libaio,164,0
randread,1M,40,4,2G,10,libaio,168,0
randread,10M,40,1,2G,10,libaio,16,0
randread,10M,40,2,2G,10,libaio,16,0
randread,10M,40,4,2G,10,libaio,17,0
randread,100M,40,1,2G,10,libaio,1,0
randread,100M,40,2,2G,10,libaio,1,0
randread,100M,40,4,2G,10,libaio,1,0
randread,1G,40,1,2G,10,libaio,0,0
randread,1G,40,2,2G,10,libaio,0,0
randread,1G,40,4,2G,10,libaio,0,0
randwrite,1k,40,1,2G,10,libaio,0,169164
randwrite,1k,40,2,2G,10,libaio,0,109162
randwrite,1k,40,4,2G,10,libaio,0,124124
randwrite,4k,40,1,2G,10,libaio,0,38423
randwrite,4k,40,2,2G,10,libaio,0,40160
randwrite,4k,40,4,2G,10,libaio,0,39830
randwrite,8k,40,1,2G,10,libaio,0,20582
randwrite,8k,40,2,2G,10,libaio,0,22720
randwrite,8k,40,4,2G,10,libaio,0,20149
randwrite,1M,40,1,2G,10,libaio,0,179
randwrite,1M,40,2,2G,10,libaio,0,159
randwrite,1M,40,4,2G,10,libaio,0,174
randwrite,10M,40,1,2G,10,libaio,0,19
randwrite,10M,40,2,2G,10,libaio,0,17
randwrite,10M,40,4,2G,10,libaio,0,17
randwrite,100M,40,1,2G,10,libaio,0,1
randwrite,100M,40,2,2G,10,libaio,0,1
randwrite,100M,40,4,2G,10,libaio,0,1
randwrite,1G,40,1,2G,10,libaio,0,0
randwrite,1G,40,2,2G,10,libaio,0,0
randwrite,1G,40,4,2G,10,libaio,0,0
rw,1k,40,1,2G,10,libaio,764,768
rw,1k,40,2,2G,10,libaio,1544,1547
