IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read IOPS,Write IOPS
rw,1k,40,4,2G,10,libaio,2188,2185
rw,4k,40,1,2G,10,libaio,817,820
rw,4k,40,2,2G,10,libaio,941,940
rw,4k,40,4,2G,10,libaio,1076,1069
rw,8k,40,1,2G,10,libaio,50491,50441
rw,8k,40,2,2G,10,libaio,74622,74514
rw,8k,40,4,2G,10,libaio,63728,63653
rw,1M,40,1,2G,10,libaio,527,494
rw,1M,40,2,2G,10,libaio,418,391
rw,1M,40,4,2G,10,libaio,401,375
rw,10M,40,1,2G,10,libaio,22,18
rw,10M,40,2,2G,10,libaio,31,25
rw,10M,40,4,2G,10,libaio,31,26
rw,100M,40,1,2G,10,libaio,1,2
rw,100M,40,2,2G,10,libaio,2,3
rw,100M,40,4,2G,10,libaio,2,3
rw,1G,40,1,2G,10,libaio,0,0
rw,1G,40,2,2G,10,libaio,0,0
rw,1G,40,4,2G,10,libaio,0,0
randrw,1k,40,1,2G,10,libaio,104270,104256
randrw,1k,40,2,2G,10,libaio,103723,103709
randrw,1k,40,4,2G,10,libaio,101534,101520
randrw,4k,40,1,2G,10,libaio,52004,51938
randrw,4k,40,2,2G,10,libaio,51620,51555
randrw,4k,40,4,2G,10,libaio,48409,48348
randrw,8k,40,1,2G,10,libaio,25367,25327
randrw,8k,40,2,2G,10,libaio,35938,35906
randrw,8k,40,4,2G,10,libaio,30914,30863
randrw,1M,40,1,2G,10,libaio,310,290
randrw,1M,40,2,2G,10,libaio,196,183
randrw,1M,40,4,2G,10,libaio,302,284
randrw,10M,40,1,2G,10,libaio,30,25
randrw,10M,40,2,2G,10,libaio,30,25
randrw,10M,40,4,2G,10,libaio,24,20
randrw,100M,40,1,2G,10,libaio,1,2
randrw,100M,40,2,2G,10,libaio,1,2
randrw,100M,40,4,2G,10,libaio,1,1
randrw,1G,40,1,2G,10,libaio,0,0
randrw,1G,40,2,2G,10,libaio,0,0
