IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read Bandwidth (KB/s),Read IOPS,Read Latency Min (ms),Read Latency Max (ms),Read Latency Avg (ms),Read Latency Dev (ms),Write Bandwidth (KB/s),Write IOPS,Write Latency Min (ms),Write Latency Max (ms),Write Latency Avg (ms),Write Latency Dev (ms),CPU Usage: User,CPU Usage: System
read,4k,1,1,40G,10,libaio,18586,4646,28,1187,212.027630,221.264714,0,0,0,0,0.000000,0.000000,3.070000%,11.160000%
read,4k,1,32,40G,10,libaio,574055,143513,28,10832,222.530860,104.646422,0,0,0,0,0.000000,0.000000,6.740000%,34.970000%
read,4k,1,64,40G,10,libaio,537903,134475,22,12522,475.303059,187.122000,0,0,0,0,0.000000,0.000000,5.600000%,37.490000%
read,32k,1,1,40G,10,libaio,111820,3494,63,1834,282.152473,270.970757,0,0,0,0,0.000000,0.000000,4.050000%,17.580000%
read,32k,1,32,40G,10,libaio,1905771,59555,44,3316,536.865033,485.495187,0,0,0,0,0.000000,0.000000,4.240000%,31.560000%
read,32k,1,64,40G,10,libaio,2408021,75250,47,22271,850.005952,684.899582,0,0,0,0,0.000000,0.000000,4.710000%,39.580000%
read,64k,1,1,40G,10,libaio,248871,3888,84,1094,253.320365,186.935929,0,0,0,0,0.000000,0.000000,2.920000%,13.730000%
read,64k,1,32,40G,10,libaio,2772059,43313,60,4974,738.281861,553.655637,0,0,0,0,0.000000,0.000000,4.259574%,34.136586%
read,64k,1,64,40G,10,libaio,3146403,49162,64,6644,1301.198541,1001.493710,0,0,0,0,0.000000,0.000000,4.089182%,44.451110%
write,4k,1,1,40G,10,libaio,0,0,0,0,0.000000,0.000000,13637,3409,31,22638,289.414729,600.118619,4.040000%,15.700000%
write,4k,1,32,40G,10,libaio,0,0,0,0,0.000000,0.000000,520150,130037,27,4961201,245.548361,8712.343844,7.500000%,34.620000%
write,4k,1,64,40G,10,libaio,0,0,0,0,0.000000,0.000000,572109,143027,39,58504,446.831845,514.950091,7.510000%,39.890000%
write,32k,1,1,40G,10,libaio,0,0,0,0,0.000000,0.000000,116673,3646,55,19857,271.223289,315.621952,3.880000%,14.730000%
write,32k,1,32,40G,10,libaio,0,0,0,0,0.000000,0.000000,2060173,64380,65,3070,496.590874,430.745706,8.109189%,35.016498%
write,32k,1,64,40G,10,libaio,0,0,0,0,0.000000,0.000000,2980485,93140,42,4462,686.738892,441.642368,10.050000%,44.160000%
write,64k,1,1,40G,10,libaio,0,0,0,0,0.000000,0.000000,133682,2088,153,19866,474.051795,1103.362126,3.710000%,12.250000%
write,64k,1,32,40G,10,libaio,0,0,0,0,0.000000,0.000000,3282538,51289,65,20981,623.432050,495.742929,8.450000%,34.600000%
write,64k,1,64,40G,10,libaio,0,0,0,0,0.000000,0.000000,3409724,53276,91,6632,1200.690356,759.185296,9.189081%,43.475652%
randread,4k,1,1,40G,10,libaio,15308,3827,34,1315,257.644275,273.178259,0,0,0,0,0.000000,0.000000,4.140000%,15.920000%
randread,4k,1,32,40G,10,libaio,493207,123301,44,11004,258.847820,125.535297,0,0,0,0,0.000000,0.000000,6.340000%,36.230000%
randread,4k,1,64,40G,10,libaio,556926,139231,17,13001,459.098471,153.164443,0,0,0,0,0.000000,0.000000,6.800000%,36.620000%
randread,32k,1,1,40G,10,libaio,109445,3420,56,2739,287.918813,259.310256,0,0,0,0,0.000000,0.000000,3.550000%,19.540000%
randread,32k,1,32,40G,10,libaio,1865087,58283,46,3136,548.578364,487.265130,0,0,0,0,0.000000,0.000000,3.960000%,31.780000%
randread,32k,1,64,40G,10,libaio,2293572,71674,45,4350,892.394636,703.583906,0,0,0,0,0.000000,0.000000,4.370000%,38.560000%
randread,64k,1,1,40G,10,libaio,202667,3166,79,2498,311.347900,251.354061,0,0,0,0,0.000000,0.000000,3.690000%,18.310000%
randread,64k,1,32,40G,10,libaio,2438629,38103,68,3938,839.269810,713.015573,0,0,0,0,0.000000,0.000000,3.289671%,30.886911%
randread,64k,1,64,40G,10,libaio,2769899,43279,65,6011,1478.074674,1255.126046,0,0,0,0,0.000000,0.000000,3.590000%,38.830000%
randwrite,4k,1,1,40G,10,libaio,0,0,0,0,0.000000,0.000000,14919,3729,32,5821,263.974881,283.902970,4.870000%,16.690000%
randwrite,4k,1,32,40G,10,libaio,0,0,0,0,0.000000,0.000000,561925,140481,34,23288,227.121429,116.498126,7.620000%,39.960000%
randwrite,4k,1,64,40G,10,libaio,0,0,0,0,0.000000,0.000000,565482,141370,47,39249,452.028652,329.183043,7.340000%,41.820000%
randwrite,32k,1,1,40G,10,libaio,0,0,0,0,0.000000,0.000000,139774,4367,65,1112,224.900375,178.544571,3.750000%,14.660000%
randwrite,32k,1,32,40G,10,libaio,0,0,0,0,0.000000,0.000000,1872615,58519,50,3146,546.307665,473.079136,7.490000%,35.170000%
randwrite,32k,1,64,40G,10,libaio,0,0,0,0,0.000000,0.000000,2427568,75861,55,4229,843.124445,631.268969,9.220000%,39.940000%
randwrite,64k,1,1,40G,10,libaio,0,0,0,0,0.000000,0.000000,192031,3000,85,1438,328.339742,267.314765,5.029497%,18.058194%
randwrite,64k,1,32,40G,10,libaio,0,0,0,0,0.000000,0.000000,2829157,44205,74,4083,723.361491,572.918295,8.420000%,31.520000%
randwrite,64k,1,64,40G,10,libaio,0,0,0,0,0.000000,0.000000,3851582,60180,68,7326,1062.946997,663.582984,9.860000%,48.270000%
