Duration in Seconds (-D),TxDepth (-t),Bandwidth in Gb/s
1,256,36.961915
1,256,36.961915
1,256,36.961637
1,512,36.961847
1,512,36.961816
1,512,36.962027
3,256,36.979076
3,256,36.969203
3,256,36.978793
3,512,36.978701
3,512,36.979306
3,512,36.978547
5,256,36.996721
5,256,36.996906
5,256,36.995934
5,512,36.995955
5,512,36.996341
5,512,36.99657
