Duration in Seconds (-D),TxDepth (-t),Bandwidth in Gb/s
1,256,36.994992
1,256,36.99469
1,256,36.995848
1,512,36.995976
1,512,36.995445
1,512,36.995324
3,256,36.994765
3,256,36.996024
3,256,36.994966
3,512,36.994545
3,512,36.995511
3,512,36.995427
5,256,36.99779
5,256,36.997623
5,256,36.997394
5,512,36.996862
5,512,36.997675
5,512,36.998068
