IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read Bandwidth (KB/s),Read IOPS,Read Latency Min (ms),Read Latency Max (ms),Read Latency Avg (ms),Read Latency Dev (ms),Write Bandwidth (KB/s),Write IOPS,Write Latency Min (ms),Write Latency Max (ms),Write Latency Avg (ms),Write Latency Dev (ms),CPU Usage: User,CPU Usage: System
read,512,40,1,2G,300,libaio,4246,8492,15,1216167,116.917657,1420.682834,0,0,0,0,0.000000,0.000000,2.157000%,7.660000%
read,512,40,2,2G,300,libaio,4106,8212,19,1719270,242.910018,2578.349045,0,0,0,0,0.000000,0.000000,2.131681%,8.453056%
read,512,40,4,2G,300,libaio,3794,7589,32,63401,526.565865,2163.605574,0,0,0,0,0.000000,0.000000,2.045653%,8.912941%
read,512,40,8,2G,300,libaio,3858,7717,58,1803255,1036.118744,3855.845197,0,0,0,0,0.000000,0.000000,2.122333%,9.660333%
read,512,40,16,2G,300,libaio,3979,7958,109,2043314,2009.981745,6710.997719,0,0,0,0,0.000000,0.000000,2.121326%,10.168966%
read,512,40,32,2G,300,libaio,0,0,2211,2211,2211.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000%,0.000000%
read,512,40,64,2G,300,libaio,10086,20173,49,3508454,3171.587161,15887.640141,0,0,0,0,0.000000,0.000000,4.135639%,20.320198%
read,512,40,128,2G,300,libaio,3818,7636,670,565704,16759.031069,8277.058638,0,0,0,0,0.000000,0.000000,3.709667%,18.129667%
read,1k,40,1,2G,300,libaio,8292,8292,15,688692,119.702407,1274.188503,0,0,0,0,0.000000,0.000000,2.358341%,7.496358%
read,1k,40,2,2G,300,libaio,8350,8350,19,896638,238.851642,1905.972304,0,0,0,0,0.000000,0.000000,2.207875%,8.424856%
read,1k,40,4,2G,300,libaio,7608,7608,36,1203528,525.204226,2801.463192,0,0,0,0,0.000000,0.000000,2.008000%,8.807000%
read,1k,40,8,2G,300,libaio,7741,7741,59,2023325,1032.962928,4952.760968,0,0,0,0,0.000000,0.000000,2.022320%,9.602269%
read,1k,40,16,2G,300,libaio,7869,7869,115,1803706,2032.613116,5165.040037,0,0,0,0,0.000000,0.000000,2.035333%,9.702333%
read,1k,40,32,2G,300,libaio,8264,8264,206,2857450,3871.634801,10474.548040,0,0,0,0,0.000000,0.000000,2.210326%,11.069296%
read,1k,40,64,2G,300,libaio,7329,7329,326,51415,8731.559153,5671.318051,0,0,0,0,0.000000,0.000000,2.780315%,14.016240%
read,1k,40,128,2G,300,libaio,7178,7178,1212,68090,17830.314682,6981.989371,0,0,0,0,0.000000,0.000000,2.845629%,14.046479%
read,4k,40,1,2G,300,libaio,30676,7669,17,75309,129.500254,1229.534457,0,0,0,0,0.000000,0.000000,2.139688%,6.874069%
read,4k,40,2,2G,300,libaio,33921,8480,19,1536287,235.159737,2740.851228,0,0,0,0,0.000000,0.000000,2.269000%,7.770667%
read,4k,40,4,2G,300,libaio,32248,8062,32,1843499,494.486741,4108.600248,0,0,0,0,0.000000,0.000000,2.042000%,8.519000%
read,4k,40,8,2G,300,libaio,32856,8214,64,1128777,973.458847,3544.979152,0,0,0,0,0.000000,0.000000,1.942000%,8.931333%
read,4k,40,16,2G,300,libaio,31954,7988,91,1883117,1991.927326,5664.286094,0,0,0,0,0.000000,0.000000,1.897660%,9.213636%
read,4k,40,32,2G,300,libaio,31228,7807,173,4687181,4098.144268,23561.999459,0,0,0,0,0.000000,0.000000,1.839661%,9.114636%
read,4k,40,64,2G,300,libaio,28477,7119,282,5374675,8988.531016,32712.157930,0,0,0,0,0.000000,0.000000,1.305325%,5.974294%
read,4k,40,128,2G,300,libaio,29215,7303,1121,2854885,17522.166916,22707.389423,0,0,0,0,0.000000,0.000000,1.555984%,6.504935%
read,8k,40,1,2G,300,libaio,54326,6790,20,59893,146.392005,1321.024025,0,0,0,0,0.000000,0.000000,2.043667%,6.340333%
