IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read Bandwidth (KB/s),Read IOPS,Read Latency Min (ms),Read Latency Max (ms),Read Latency Avg (ms),Read Latency Dev (ms),Write Bandwidth (KB/s),Write IOPS,Write Latency Min (ms),Write Latency Max (ms),Write Latency Avg (ms),Write Latency Dev (ms),CPU Usage: User,CPU Usage: System
read,1M,4,1,20G,30,libaio,3831168,3741,517,2309,1066.406833,153.061791,0,0,0,0,0.000000,0.000000,0.440833%,6.849167%
read,1M,4,32,20G,30,libaio,4516014,4410,2825,56262,29009.931309,1004.706391,0,0,0,0,0.000000,0.000000,0.487045%,13.027008%
read,1M,4,64,20G,30,libaio,4516642,4410,20729,85791,57990.495912,1998.895637,0,0,0,0,0.000000,0.000000,0.148200%,10.568821%
read,1M,4,128,20G,30,libaio,4516252,4410,27949,144011,115799.207415,4256.904205,0,0,0,0,0.000000,0.000000,0.144865%,10.690023%
read,1M,4,256,20G,30,libaio,4516280,4410,26603,258582,230733.220649,13831.927492,0,0,0,0,0.000000,0.000000,0.190670%,11.010549%
read,1M,4,512,20G,30,libaio,4516676,4410,23336,492336,457876.023685,42697.160862,0,0,0,0,0.000000,0.000000,0.174846%,11.400763%
read,10M,4,1,20G,30,libaio,4473836,436,5441,12891,9151.717544,635.224799,0,0,0,0,0.000000,0.000000,0.057492%,9.033795%
read,10M,4,32,20G,30,libaio,4515952,441,34888,309553,287937.127001,19514.470569,0,0,0,0,0.000000,0.000000,0.035798%,10.825841%
read,10M,4,64,20G,30,libaio,4516293,441,32175,598224,570251.827784,59840.152636,0,0,0,0,0.000000,0.000000,0.024976%,11.096958%
read,10M,4,128,20G,30,libaio,4516102,441,36047,1180588,1118195.723648,173691.422785,0,0,0,0,0.000000,0.000000,0.042459%,11.662990%
read,10M,4,256,20G,30,libaio,4516443,441,29816,2341096,2146630.998716,486076.180203,0,0,0,0,0.000000,0.000000,0.034968%,12.829799%
read,10M,4,512,20G,30,libaio,4516293,441,32221,4660392,3934390.490525,1294619.767836,0,0,0,0,0.000000,0.000000,0.044125%,15.034051%
write,4k,4,1,20G,30,libaio,0,0,0,0,0.000000,0.000000,762402,190600,16,1138,20.543748,4.380556,5.216667%,20.045000%
write,4k,4,32,20G,30,libaio,0,0,0,0,0.000000,0.000000,2250361,562590,17,1439,226.892028,48.933314,7.147500%,42.725833%
write,4k,4,64,20G,30,libaio,0,0,0,0,0.000000,0.000000,2246126,561531,21,2203,455.247324,93.632994,7.095000%,42.804167%
write,4k,4,128,20G,30,libaio,0,0,0,0,0.000000,0.000000,2228189,557047,21,2157,918.455677,113.408288,7.000000%,42.900000%
write,4k,4,256,20G,30,libaio,0,0,0,0,0.000000,0.000000,2132921,533230,20,3417,1919.557113,115.380365,8.017500%,41.887500%
write,4k,4,512,20G,30,libaio,0,0,0,0,0.000000,0.000000,2063141,515785,20,5222,3969.586908,148.029386,8.573333%,41.330833%
write,32k,4,1,20G,30,libaio,0,0,0,0,0.000000,0.000000,2537695,79302,36,674,49.954268,7.998919,2.420833%,10.645833%
write,32k,4,32,20G,30,libaio,0,0,0,0,0.000000,0.000000,4176666,130520,171,2135,980.212383,66.732113,5.106667%,16.375000%
write,32k,4,64,20G,30,libaio,0,0,0,0,0.000000,0.000000,4177690,130552,416,3834,1960.369158,96.728004,6.458118%,16.686944%
write,32k,4,128,20G,30,libaio,0,0,0,0,0.000000,0.000000,4379456,136858,798,18418,3740.326091,232.135380,5.463197%,17.137072%
write,32k,4,256,20G,30,libaio,0,0,0,0,0.000000,0.000000,4458755,139336,846,9912,7346.979084,259.534961,6.793220%,18.656356%
write,32k,4,512,20G,30,libaio,0,0,0,0,0.000000,0.000000,4456032,139251,882,17478,14699.812731,398.570269,7.538145%,19.186187%
write,64k,4,1,20G,30,libaio,0,0,0,0,0.000000,0.000000,3335568,52118,58,1204,76.232979,11.013128,2.146667%,8.389167%
write,64k,4,32,20G,30,libaio,0,0,0,0,0.000000,0.000000,4348279,67941,255,3837,1883.381902,98.645864,6.236459%,11.267958%
write,64k,4,64,20G,30,libaio,0,0,0,0,0.000000,0.000000,4462785,69731,634,7236,3670.625930,727.367455,5.042164%,12.882475%
write,64k,4,128,20G,30,libaio,0,0,0,0,0.000000,0.000000,4444071,69438,1997,10964,7371.721465,471.971863,6.170473%,13.902522%
write,64k,4,256,20G,30,libaio,0,0,0,0,0.000000,0.000000,4445434,69459,1765,30290,14735.614962,657.795778,6.481343%,14.670100%
write,64k,4,512,20G,30,libaio,0,0,0,0,0.000000,0.000000,4444214,69440,1425,44982,29465.388804,986.765015,6.837215%,15.190200%
write,128k,4,1,20G,30,libaio,0,0,0,0,0.000000,0.000000,3776859,29506,91,14905,134.890061,25.384943,2.106667%,7.120833%
write,128k,4,32,20G,30,libaio,0,0,0,0,0.000000,0.000000,4470917,34929,504,18432,3663.826109,147.631350,4.824678%,11.291747%
write,128k,4,64,20G,30,libaio,0,0,0,0,0.000000,0.000000,4470145,34923,1243,12011,7329.067220,229.454985,5.690908%,13.288228%
write,128k,4,128,20G,30,libaio,0,0,0,0,0.000000,0.000000,4446111,34735,4029,21050,14736.625929,617.490955,5.991701%,12.789128%
write,128k,4,256,20G,30,libaio,0,0,0,0,0.000000,0.000000,4450343,34768,4008,34549,29433.421725,849.705206,5.957539%,13.264898%
write,128k,4,512,20G,30,libaio,0,0,0,0,0.000000,0.000000,4448402,34753,3962,74345,58836.512231,2008.351732,6.173344%,13.341554%
write,256k,4,1,20G,30,libaio,0,0,0,0,0.000000,0.000000,3074414,12009,179,2457,331.059920,82.103405,2.565833%,7.249167%
write,256k,4,32,20G,30,libaio,0,0,0,0,0.000000,0.000000,4450574,17385,1168,23420,7361.014713,428.690184,6.390602%,12.418764%
write,256k,4,64,20G,30,libaio,0,0,0,0,0.000000,0.000000,4473759,17475,2618,26793,14645.814067,2434.728601,6.898218%,12.988311%
write,256k,4,128,20G,30,libaio,0,0,0,0,0.000000,0.000000,4499282,17575,6957,41342,29115.286816,3559.146592,6.673109%,10.938567%
write,256k,4,256,20G,30,libaio,0,0,0,0,0.000000,0.000000,4499939,17577,8186,72707,58168.040646,3144.361180,6.618125%,11.118516%
write,256k,4,512,20G,30,libaio,0,0,0,0,0.000000,0.000000,4499872,17577,6808,128603,116120.375573,6154.954643,6.574135%,11.240430%
write,512k,4,1,20G,30,libaio,0,0,0,0,0.000000,0.000000,3715613,7257,351,12368,548.937295,96.753260,2.476667%,6.385000%
write,512k,4,32,20G,30,libaio,0,0,0,0,0.000000,0.000000,4495916,8781,2218,27138,14572.996152,1889.023183,6.901866%,11.380373%
write,512k,4,64,20G,30,libaio,0,0,0,0,0.000000,0.000000,4514315,8817,4963,53216,29023.433701,6612.608023,6.592482%,10.482172%
write,512k,4,128,20G,30,libaio,0,0,0,0,0.000000,0.000000,4516445,8821,6787,84149,57977.264388,9473.161428,6.401979%,9.746670%
write,512k,4,256,20G,30,libaio,0,0,0,0,0.000000,0.000000,4516245,8820,6657,142526,115747.231880,8824.376361,6.506929%,9.749151%
write,512k,4,512,20G,30,libaio,0,0,0,0,0.000000,0.000000,4516372,8821,8053,258593,230578.933460,17159.092799,6.330801%,9.884380%
write,1M,4,1,20G,30,libaio,0,0,0,0,0.000000,0.000000,3975581,3882,536,17087,1027.576179,183.013218,3.512500%,5.892500%
write,1M,4,32,20G,30,libaio,0,0,0,0,0.000000,0.000000,4515430,4409,5439,53421,29017.183344,6480.728410,6.590771%,9.858674%
write,1M,4,64,20G,30,libaio,0,0,0,0,0.000000,0.000000,4516469,4410,12309,82258,57976.537446,9466.362846,6.503232%,9.476210%
write,1M,4,128,20G,30,libaio,0,0,0,0,0.000000,0.000000,4516667,4410,6570,142494,115733.055323,9094.269646,6.407031%,9.614295%
write,1M,4,256,20G,30,libaio,0,0,0,0,0.000000,0.000000,4516537,4410,8620,258796,230569.486249,17247.880898,6.339553%,9.695935%
write,1M,4,512,20G,30,libaio,0,0,0,0,0.000000,0.000000,4515929,4410,10419,491520,457668.089181,45068.298468,6.940812%,9.578704%
write,10M,4,1,20G,30,libaio,0,0,0,0,0.000000,0.000000,4430496,432,5911,10702,9240.511746,392.941057,6.466746%,9.041445%
write,10M,4,32,20G,30,libaio,0,0,0,0,0.000000,0.000000,4515941,441,18953,317871,287740.617523,22565.818736,6.268637%,9.058122%
write,10M,4,64,20G,30,libaio,0,0,0,0,0.000000,0.000000,4515640,440,9494,607826,569955.013822,62265.681535,6.882365%,9.091818%
write,10M,4,128,20G,30,libaio,0,0,0,0,0.000000,0.000000,4515490,440,15661,1187770,1117571.950227,176644.691151,7.289671%,9.073571%
write,10M,4,256,20G,30,libaio,0,0,0,0,0.000000,0.000000,4515560,440,19252,2352568,2145398.893111,490031.375349,7.383037%,9.273774%
write,10M,4,512,20G,30,libaio,0,0,0,0,0.000000,0.000000,4515299,440,12688,4675753,3931930.572551,1299361.441982,7.524840%,9.238021%
randread,4k,4,1,20G,30,libaio,715184,178796,16,680,21.883365,4.365694,0,0,0,0,0.000000,0.000000,5.039167%,20.169167%
randread,4k,4,32,20G,30,libaio,2349076,587269,23,1303,217.425353,47.197663,0,0,0,0,0.000000,0.000000,7.154167%,42.720833%
randread,4k,4,64,20G,30,libaio,2333205,583301,33,1745,438.332490,95.102613,0,0,0,0,0.000000,0.000000,7.068333%,42.819167%
randread,4k,4,128,20G,30,libaio,2310165,577541,17,2533,885.931791,86.882648,0,0,0,0,0.000000,0.000000,7.135833%,42.745833%
randread,4k,4,256,20G,30,libaio,2269343,567335,21,3088,1804.209443,106.369681,0,0,0,0,0.000000,0.000000,7.610833%,42.279167%
randread,4k,4,512,20G,30,libaio,2227002,556750,27,6269,3677.321441,139.391166,0,0,0,0,0.000000,0.000000,8.667500%,41.215833%
randread,32k,4,1,20G,30,libaio,2603680,81365,37,1101,48.648785,8.625551,0,0,0,0,0.000000,0.000000,1.910833%,11.470833%
randread,32k,4,32,20G,30,libaio,4460285,139383,162,1785,917.893950,15.248598,0,0,0,0,0.000000,0.000000,2.566667%,17.339167%
randread,32k,4,64,20G,30,libaio,4460916,139403,331,3642,1835.898500,22.165097,0,0,0,0,0.000000,0.000000,2.494917%,17.513583%
randread,32k,4,128,20G,30,libaio,4461915,139434,833,5463,3671.239168,98.566984,0,0,0,0,0.000000,0.000000,2.030766%,17.174428%
randread,32k,4,256,20G,30,libaio,4462218,139444,1658,9107,7341.354939,110.622296,0,0,0,0,0.000000,0.000000,2.045765%,17.833572%
randread,32k,4,512,20G,30,libaio,4463013,139469,1293,16426,14677.294092,241.489895,0,0,0,0,0.000000,0.000000,2.048265%,18.162728%
randread,64k,4,1,20G,30,libaio,2929897,45779,59,1137,86.778833,14.972434,0,0,0,0,0.000000,0.000000,1.229167%,8.924167%
randread,64k,4,32,20G,30,libaio,4480682,70010,200,3542,1827.711023,21.587724,0,0,0,0,0.000000,0.000000,1.599947%,11.875437%
randread,64k,4,64,20G,30,libaio,4486550,70102,457,7217,3650.999777,47.796353,0,0,0,0,0.000000,0.000000,1.566510%,13.950272%
randread,64k,4,128,20G,30,libaio,4487553,70118,3375,22444,7300.395078,237.987229,0,0,0,0,0.000000,0.000000,1.084892%,12.549578%
randread,64k,4,256,20G,30,libaio,4487474,70116,2211,17958,14598.310618,266.087787,0,0,0,0,0.000000,0.000000,1.055728%,12.957038%
randread,64k,4,512,20G,30,libaio,4487414,70115,3114,32740,29183.821397,649.098087,0,0,0,0,0.000000,0.000000,1.014065%,13.172016%
randread,128k,4,1,20G,30,libaio,3269313,25541,99,1268,155.838979,27.648418,0,0,0,0,0.000000,0.000000,0.905000%,7.689167%
randread,128k,4,32,20G,30,libaio,4494871,35116,377,7063,3644.160208,46.796499,0,0,0,0,0.000000,0.000000,0.913242%,11.293037%
randread,128k,4,64,20G,30,libaio,4505930,35202,804,14319,7270.747293,128.188969,0,0,0,0,0.000000,0.000000,0.929783%,12.728697%
randread,128k,4,128,20G,30,libaio,4507718,35216,6436,21467,14534.451088,443.536787,0,0,0,0,0.000000,0.000000,0.540725%,10.911151%
randread,128k,4,256,20G,30,libaio,4507461,35214,6941,36145,29058.942134,629.959326,0,0,0,0,0.000000,0.000000,0.574042%,11.250896%
randread,128k,4,512,20G,30,libaio,4507602,35215,6969,65172,58060.954346,1783.829080,0,0,0,0,0.000000,0.000000,0.589034%,11.475751%
randread,256k,4,1,20G,30,libaio,2815718,10998,174,1282,361.083793,76.385261,0,0,0,0,0.000000,0.000000,1.295833%,8.495000%
randread,256k,4,32,20G,30,libaio,4513151,17629,676,14101,7258.199242,130.560273,0,0,0,0,0.000000,0.000000,0.725664%,11.751425%
randread,256k,4,64,20G,30,libaio,4513523,17630,1420,28587,14516.504493,364.518124,0,0,0,0,0.000000,0.000000,0.678850%,12.014393%
randread,256k,4,128,20G,30,libaio,4513528,17630,13148,42947,29024.539526,814.648032,0,0,0,0,0.000000,0.000000,0.367341%,11.046047%
randread,256k,4,256,20G,30,libaio,4513281,17630,10972,71882,58005.828760,1608.742657,0,0,0,0,0.000000,0.000000,0.382334%,11.430047%
