Port (tnvme40Gp1),Duration (-D),TxDepth (-t),Report GBits (--report_gbits),Gb/s
,1,256,,36.961915
,1,256,,36.96173
,1,256,,36.962022
,1,512,,36.961691
,1,512,,36.961506
,1,512,,36.961909
,3,256,,36.978939
,3,256,,36.978785
,3,256,,36.978872
,3,512,,36.979075
,3,512,,36.978682
,3,512,,36.978968
,5,256,,36.996411
,5,256,,36.996289
,5,256,,36.995937
,5,512,,36.996146
,5,512,,36.996609
,5,512,,36.99668
