IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read Bandwidth (KB/s),Read IOPS,Write Bandwidth (KB/s),Write IOPS
randread,4k,40,2,2G,300,libaio,10548,2637,0,0
randread,4k,40,4,2G,300,libaio,10846,2711,0,0
randread,8k,40,1,2G,300,libaio,22106,2763,0,0
randread,8k,40,2,2G,300,libaio,21804,2725,0,0
randread,8k,40,4,2G,300,libaio,21453,2681,0,0
randread,1M,40,1,2G,300,libaio,161106,157,0,0
randread,1M,40,2,2G,300,libaio,160634,156,0,0
randread,1M,40,4,2G,300,libaio,174954,170,0,0
randread,10M,40,1,2G,300,libaio,161253,15,0,0
randread,10M,40,2,2G,300,libaio,155637,15,0,0
randread,10M,40,4,2G,300,libaio,182617,17,0,0
randread,100M,40,1,2G,300,libaio,204532,1,0,0
randread,100M,40,2,2G,300,libaio,193853,1,0,0
randread,100M,40,4,2G,300,libaio,264843,2,0,0
randread,1G,40,1,2G,300,libaio,104493,0,0,0
randread,1G,40,2,2G,300,libaio,107045,0,0,0
randread,1G,40,4,2G,300,libaio,117355,0,0,0
randwrite,1k,40,1,2G,300,libaio,0,0,3381,3381
randwrite,1k,40,2,2G,300,libaio,0,0,3859,3859
randwrite,1k,40,4,2G,300,libaio,0,0,3043,3043
randwrite,4k,40,1,2G,300,libaio,0,0,129053,32263
randwrite,4k,40,2,2G,300,libaio,0,0,121441,30360
randwrite,4k,40,4,2G,300,libaio,0,0,130059,32514
randwrite,8k,40,1,2G,300,libaio,0,0,165242,20655
randwrite,8k,40,2,2G,300,libaio,0,0,165050,20631
randwrite,8k,40,4,2G,300,libaio,0,0,157166,19645
randwrite,1M,40,1,2G,300,libaio,0,0,166220,162
randwrite,1M,40,2,2G,300,libaio,0,0,167221,163
randwrite,1M,40,4,2G,300,libaio,0,0,165745,161
randwrite,10M,40,1,2G,300,libaio,0,0,185569,18
randwrite,10M,40,2,2G,300,libaio,0,0,185207,18
randwrite,10M,40,4,2G,300,libaio,0,0,201482,19
randwrite,100M,40,1,2G,300,libaio,0,0,185408,1
randwrite,100M,40,2,2G,300,libaio,0,0,178596,1
randwrite,100M,40,4,2G,300,libaio,0,0,172350,1
randwrite,1G,40,1,2G,300,libaio,0,0,117345,0
randwrite,1G,40,2,2G,300,libaio,0,0,114233,0
randwrite,1G,40,4,2G,300,libaio,0,0,111274,0
rw,1k,40,1,2G,300,libaio,36578,36578,36573,36573
rw,1k,40,2,2G,300,libaio,38737,38737,38732,38732
rw,1k,40,4,2G,300,libaio,45328,45328,45322,45322
rw,4k,40,1,2G,300,libaio,37862,9465,37816,9454
rw,4k,40,2,2G,300,libaio,39787,9946,39740,9935
rw,4k,40,4,2G,300,libaio,54758,13689,54685,13671
rw,8k,40,1,2G,300,libaio,42852,5356,42785,5348
rw,8k,40,2,2G,300,libaio,45428,5678,45356,5669
rw,8k,40,4,2G,300,libaio,41756,5219,41690,5211
rw,1M,40,1,2G,300,libaio,78161,76,73058,71
rw,1M,40,2,2G,300,libaio,76648,74,71678,69
rw,1M,40,4,2G,300,libaio,77946,76,72789,71
rw,10M,40,1,2G,300,libaio,86272,8,71256,6
rw,10M,40,2,2G,300,libaio,91189,8,74876,7
rw,10M,40,4,2G,300,libaio,83276,8,68498,6
rw,100M,40,1,2G,300,libaio,75968,0,93001,0
rw,100M,40,2,2G,300,libaio,74747,0,90789,0
rw,100M,40,4,2G,300,libaio,79970,0,97326,0
rw,1G,40,1,2G,300,libaio,120769,0,0,0
rw,1G,40,2,2G,300,libaio,114388,0,0,0
rw,1G,40,4,2G,300,libaio,111202,0,0,0
randrw,1k,40,1,2G,300,libaio,1511,1511,1511,1511
randrw,1k,40,2,2G,300,libaio,1835,1835,1833,1833
randrw,1k,40,4,2G,300,libaio,1332,1332,1332,1332
randrw,4k,40,1,2G,300,libaio,7866,1966,7854,1963
randrw,4k,40,2,2G,300,libaio,7723,1930,7710,1927
randrw,4k,40,4,2G,300,libaio,7624,1906,7613,1903
randrw,8k,40,1,2G,300,libaio,14842,1855,14820,1852
randrw,8k,40,2,2G,300,libaio,14953,1869,14931,1866
randrw,8k,40,4,2G,300,libaio,14856,1857,14834,1854
randrw,1M,40,1,2G,300,libaio,135849,132,126999,124
randrw,1M,40,2,2G,300,libaio,118090,115,110417,107
randrw,1M,40,4,2G,300,libaio,115389,112,107969,105
randrw,10M,40,1,2G,300,libaio,158788,15,129275,12
randrw,10M,40,2,2G,300,libaio,166130,16,135388,13
randrw,10M,40,4,2G,300,libaio,158728,15,129310,12
randrw,100M,40,1,2G,300,libaio,100003,0,132427,1
randrw,100M,40,2,2G,300,libaio,104513,1,138897,1
randrw,100M,40,4,2G,300,libaio,106008,1,140435,1
randrw,1G,40,1,2G,300,libaio,131378,0,0,0
randrw,1G,40,2,2G,300,libaio,135056,0,0,0
randrw,1G,40,4,2G,300,libaio,113983,0,0,0
