IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read Bandwidth (KB/s),Read IOPS,Write Bandwidth (KB/s),Write IOPS
read,1k,40,1,2G,300,libaio,110964,110964,0,0
read,1k,40,2,2G,300,libaio,113161,113161,0,0
read,1k,40,4,2G,300,libaio,109302,109302,0,0
read,4k,40,1,2G,300,libaio,106077,26519,0,0
read,4k,40,2,2G,300,libaio,108551,27137,0,0
read,4k,40,4,2G,300,libaio,114186,28546,0,0
read,8k,40,1,2G,300,libaio,106100,13262,0,0
read,8k,40,2,2G,300,libaio,104007,13000,0,0
read,8k,40,4,2G,300,libaio,104530,13066,0,0
read,1M,40,1,2G,300,libaio,104113,101,0,0
read,1M,40,2,2G,300,libaio,111528,108,0,0
read,1M,40,4,2G,300,libaio,109435,106,0,0
read,10M,40,1,2G,300,libaio,110689,10,0,0
read,10M,40,2,2G,300,libaio,109427,10,0,0
read,10M,40,4,2G,300,libaio,115799,11,0,0
read,100M,40,1,2G,300,libaio,112173,1,0,0
read,100M,40,2,2G,300,libaio,108174,1,0,0
read,100M,40,4,2G,300,libaio,109099,1,0,0
read,1G,40,1,2G,300,libaio,106725,0,0,0
read,1G,40,2,2G,300,libaio,113582,0,0,0
read,1G,40,4,2G,300,libaio,120020,0,0,0
write,1k,40,1,2G,300,libaio,0,0,6664,6664
write,1k,40,2,2G,300,libaio,0,0,6699,6699
write,1k,40,4,2G,300,libaio,0,0,6641,6641
write,4k,40,1,2G,300,libaio,0,0,111462,27865
write,4k,40,2,2G,300,libaio,0,0,114748,28687
write,4k,40,4,2G,300,libaio,0,0,108913,27228
write,8k,40,1,2G,300,libaio,0,0,115444,14430
write,8k,40,2,2G,300,libaio,0,0,109046,13630
write,8k,40,4,2G,300,libaio,0,0,111727,13965
write,1M,40,1,2G,300,libaio,0,0,112804,110
write,1M,40,2,2G,300,libaio,0,0,111807,109
write,1M,40,4,2G,300,libaio,0,0,112985,110
write,10M,40,1,2G,300,libaio,0,0,113028,11
write,10M,40,2,2G,300,libaio,0,0,115283,11
write,10M,40,4,2G,300,libaio,0,0,110441,10
write,100M,40,1,2G,300,libaio,0,0,109170,1
write,100M,40,2,2G,300,libaio,0,0,114965,1
write,100M,40,4,2G,300,libaio,0,0,108985,1
write,1G,40,1,2G,300,libaio,0,0,110164,0
write,1G,40,2,2G,300,libaio,0,0,110462,0
write,1G,40,4,2G,300,libaio,0,0,110932,0
randread,1k,40,1,2G,300,libaio,4164,4164,0,0
randread,1k,40,2,2G,300,libaio,3731,3731,0,0
randread,1k,40,4,2G,300,libaio,4246,4246,0,0
randread,4k,40,1,2G,300,libaio,10377,2594,0,0
