IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read IOPS,Write IOPS
read,1k,40,1,1G,10,libaio,185818,0
read,1k,40,2,1G,10,libaio,176424,0
read,4k,40,1,1G,10,libaio,51277,0
read,4k,40,2,1G,10,libaio,26167,0
read,8k,40,1,1G,10,libaio,21389,0
read,8k,40,2,1G,10,libaio,17290,0
read,1M,40,1,1G,10,libaio,128,0
read,1M,40,2,1G,10,libaio,132,0
write,1k,40,1,1G,10,libaio,0,123574
write,1k,40,2,1G,10,libaio,0,94440
write,4k,40,1,1G,10,libaio,0,23110
write,4k,40,2,1G,10,libaio,0,24070
write,8k,40,1,1G,10,libaio,0,8571
write,8k,40,2,1G,10,libaio,0,10136
write,1M,40,1,1G,10,libaio,0,76
write,1M,40,2,1G,10,libaio,0,73
randread,1k,40,1,1G,10,libaio,98633,0
randread,1k,40,2,1G,10,libaio,121420,0
randread,4k,40,1,1G,10,libaio,49512,0
randread,4k,40,2,1G,10,libaio,56489,0
randread,8k,40,1,1G,10,libaio,30384,0
randread,8k,40,2,1G,10,libaio,26971,0
randread,1M,40,1,1G,10,libaio,189,0
randread,1M,40,2,1G,10,libaio,185,0
randwrite,1k,40,1,1G,10,libaio,0,29675
randwrite,1k,40,2,1G,10,libaio,0,22858
randwrite,4k,40,1,1G,10,libaio,0,24955
randwrite,4k,40,2,1G,10,libaio,0,24123
randwrite,8k,40,1,1G,10,libaio,0,20181
randwrite,8k,40,2,1G,10,libaio,0,13510
randwrite,1M,40,1,1G,10,libaio,0,193
randwrite,1M,40,2,1G,10,libaio,0,114
rw,1k,40,1,1G,10,libaio,51359,51316
rw,1k,40,2,1G,10,libaio,38332,38322
rw,4k,40,1,1G,10,libaio,12451,12431
rw,4k,40,2,1G,10,libaio,18491,18448
rw,8k,40,1,1G,10,libaio,7718,7696
rw,8k,40,2,1G,10,libaio,9586,9570
rw,1M,40,1,1G,10,libaio,62,55
rw,1M,40,2,1G,10,libaio,69,58
randrw,1k,40,1,1G,10,libaio,25775,25721
randrw,1k,40,2,1G,10,libaio,20971,20920
randrw,4k,40,1,1G,10,libaio,17849,17819
randrw,4k,40,2,1G,10,libaio,23647,23640
randrw,8k,40,1,1G,10,libaio,10804,10787
randrw,8k,40,2,1G,10,libaio,11774,11738
randrw,1M,40,1,1G,10,libaio,136,120
randrw,1M,40,2,1G,10,libaio,90,77
