IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read Bandwidth (KB/s),Read IOPS,Read Latency Min (ms),Read Latency Max (ms),Read Latency Avg (ms),Read Latency Dev (ms),Write Bandwidth (KB/s),Write IOPS,Write Latency Min (ms),Write Latency Max (ms),Write Latency Avg (ms),Write Latency Dev (ms),CPU Usage: User,CPU Usage: System
read,512,40,1,2G,10,libaio,4276,8553,16,50993,115.990206,1157.417528,0,0,0,0,0.000000,0.000000,2.279544%,7.558488%
read,512,40,2,2G,10,libaio,4129,8259,25,44206,241.434219,1627.457758,0,0,0,0,0.000000,0.000000,1.709829%,8.819118%
read,512,40,4,2G,10,libaio,3738,7476,45,40159,534.504466,2272.581634,0,0,0,0,0.000000,0.000000,1.959608%,8.688262%
read,512,40,8,2G,10,libaio,3823,7646,60,40922,1045.509638,1974.442815,0,0,0,0,0.000000,0.000000,2.150000%,9.400000%
read,512,40,16,2G,10,libaio,3969,7938,170,25454,2014.679674,1982.745107,0,0,0,0,0.000000,0.000000,2.320000%,9.730000%
read,512,40,32,2G,10,libaio,4895,9790,165,23342,3267.323765,1821.214701,0,0,0,0,0.000000,0.000000,2.369526%,12.257548%
read,512,40,64,2G,10,libaio,7650,15301,360,41022,4182.016214,3640.335963,0,0,0,0,0.000000,0.000000,5.378386%,24.542637%
read,512,40,128,2G,10,libaio,3781,7562,2676,57558,16870.367750,6436.766684,0,0,0,0,0.000000,0.000000,3.909218%,18.046391%
read,1k,40,1,2G,10,libaio,8258,8258,15,45344,120.102194,1173.909261,0,0,0,0,0.000000,0.000000,2.469012%,7.556977%
read,1k,40,2,2G,10,libaio,8052,8052,24,54141,247.580743,1681.685294,0,0,0,0,0.000000,0.000000,2.059176%,8.396641%
read,1k,40,4,2G,10,libaio,7523,7523,41,48739,531.041267,2318.032220,0,0,0,0,0.000000,0.000000,2.117882%,8.641359%
read,1k,40,8,2G,10,libaio,7672,7672,69,37313,1042.011195,2396.689658,0,0,0,0,0.000000,0.000000,2.120000%,8.870000%
read,1k,40,16,2G,10,libaio,7759,7759,167,33160,2061.092307,2158.400714,0,0,0,0,0.000000,0.000000,2.019798%,9.779022%
read,1k,40,32,2G,10,libaio,8390,8390,446,28556,3812.139352,2030.444964,0,0,0,0,0.000000,0.000000,2.330000%,10.940000%
read,1k,40,64,2G,10,libaio,6825,6825,1284,37708,9090.702367,6066.209789,0,0,0,0,0.000000,0.000000,3.379662%,13.178682%
read,1k,40,128,2G,10,libaio,6930,6930,5220,44589,18391.446830,7162.295566,0,0,0,0,0.000000,0.000000,2.429028%,12.135146%
read,4k,40,1,2G,10,libaio,30000,7500,20,42628,132.416065,1230.570374,0,0,0,0,0.000000,0.000000,1.850000%,7.060000%
read,4k,40,2,2G,10,libaio,34740,8685,24,92710,229.589903,1639.718608,0,0,0,0,0.000000,0.000000,2.200000%,8.400000%
read,4k,40,4,2G,10,libaio,31777,7944,34,55417,502.925974,2235.131205,0,0,0,0,0.000000,0.000000,1.819818%,9.039096%
read,4k,40,8,2G,10,libaio,31017,7754,71,37623,1030.933632,2569.368269,0,0,0,0,0.000000,0.000000,1.750000%,9.150000%
read,4k,40,16,2G,10,libaio,31664,7916,113,26485,2018.741821,3005.728044,0,0,0,0,0.000000,0.000000,1.670000%,8.860000%
read,4k,40,32,2G,10,libaio,31949,7987,299,21260,3991.847656,3353.282605,0,0,0,0,0.000000,0.000000,1.729654%,9.508098%
read,4k,40,64,2G,10,libaio,30507,7626,306,36952,8387.039966,3303.410939,0,0,0,0,0.000000,0.000000,1.409295%,6.916542%
read,4k,40,128,2G,10,libaio,77,19,1810,10001739,6633437.051813,4737688.663548,0,0,0,0,0.000000,0.000000,0.000000%,0.009995%
read,8k,40,1,2G,10,libaio,54408,6801,23,51027,146.118338,1318.519781,0,0,0,0,0.000000,0.000000,1.900000%,6.780000%
read,8k,40,2,2G,10,libaio,56875,7109,24,1206312,280.555543,6626.842031,0,0,0,0,0.000000,0.000000,1.549690%,5.598880%
read,8k,40,4,2G,10,libaio,66119,8264,41,48056,483.387970,2271.485127,0,0,0,0,0.000000,0.000000,1.419716%,5.618876%
read,8k,40,8,2G,10,libaio,46810,5851,65,73731,1366.149422,3530.002240,0,0,0,0,0.000000,0.000000,1.140000%,4.440000%
read,8k,40,16,2G,10,libaio,47189,5898,147,26767,2711.596804,4076.884227,0,0,0,0,0.000000,0.000000,0.679796%,4.888533%
read,8k,40,32,2G,10,libaio,50429,6303,1401,21606,5067.280930,3252.556959,0,0,0,0,0.000000,0.000000,1.319604%,4.798560%
read,8k,40,64,2G,10,libaio,44958,5619,363,36610,11382.915102,2201.831347,0,0,0,0,0.000000,0.000000,0.769615%,3.878061%
read,8k,40,128,2G,10,libaio,45600,5700,1949,32942,22433.798808,2610.688387,0,0,0,0,0.000000,0.000000,1.029485%,4.237881%
read,16k,40,1,2G,10,libaio,50049,3128,44,29208,318.729984,1900.881399,0,0,0,0,0.000000,0.000000,1.389861%,6.669333%
read,16k,40,2,2G,10,libaio,45014,2813,61,19994,710.027224,1968.640170,0,0,0,0,0.000000,0.000000,2.320000%,8.240000%
read,16k,40,4,2G,10,libaio,46163,2885,66,14190,1385.582438,2254.700771,0,0,0,0,0.000000,0.000000,1.709829%,9.279072%
read,16k,40,8,2G,10,libaio,147332,9208,49,6022,868.155931,961.171973,0,0,0,0,0.000000,0.000000,3.150000%,20.760000%
read,16k,40,16,2G,10,libaio,41400,2587,469,27168,6181.673106,1850.151521,0,0,0,0,0.000000,0.000000,1.129774%,9.448110%
read,16k,40,32,2G,10,libaio,151,9,244,10004618,3370197.905263,4753176.256203,0,0,0,0,0.000000,0.000000,0.000000%,0.009992%
read,16k,40,64,2G,10,libaio,43380,2711,925,92373,23558.377162,15520.270677,0,0,0,0,0.000000,0.000000,3.299340%,23.875225%
read,16k,40,128,2G,10,libaio,51337,3208,7796,106498,39754.374685,14729.591632,0,0,0,0,0.000000,0.000000,2.587930%,24.990008%
write,512,40,1,2G,10,libaio,0,0,0,0,0.000000,0.000000,4213,8427,16,40067,117.763489,1153.533592,2.439268%,7.557733%
write,512,40,2,2G,10,libaio,0,0,0,0,0.000000,0.000000,4102,8205,20,36138,243.046174,1626.058689,2.210000%,8.940000%
write,512,40,4,2G,10,libaio,0,0,0,0,0.000000,0.000000,3645,7290,34,39722,547.985354,2261.805404,2.389761%,8.289171%
