Duration (-D),TxDepth (-t),Report GBits (--report_gbits),Gb/s
1,256,,37.002064
1,256,,37.005278
1,256,,37.007081
1,512,,37.004875
1,512,,37.005638
1,512,,37.011959
3,256,,36.996047
3,256,,36.99946
3,256,,37.000605
3,512,,36.998675
3,512,,36.997258
3,512,,36.998583
5,256,,36.997716
5,256,,36.997335
5,256,,36.997949
5,512,,36.997537
5,512,,36.998079
5,512,,36.998078
