Duration (-D),TxDepth (-t),Report GBits (--report_gbits),Gb/s
1,256,,37.006148
1,256,,37.002724
1,256,,37.004331
1,512,,37.004705
1,512,,37.004916
1,512,,37.004122
3,256,,36.997239
3,256,,36.998164
3,256,,36.998736
3,512,,36.998286
3,512,,36.995341
3,512,,36.997713
5,256,,36.998057
5,256,,36.997691
5,256,,36.99825
5,512,,36.998017
5,512,,36.997896
5,512,,36.999029
